Transaction_ID,Date,Customer_ID,Customer_Segment,Region,Country,Product_Category,Product_Name,Units_Sold,Unit_Price,Revenue,Cost,Profit,Payment_Method,Invoice_Status,Discount_Applied (%),Tax (%),Net_Profit,Sales_Rep
TXN00001,13-04-2023,CUST1860,SMB,East,Germany,Electronics,Smartphone,7,228.46,1599.22,1007.5,591.72,Net Banking,Paid,12.02,14.2,446.67,Frank
TXN00002,05-11-2023,CUST1769,Enterprise,West,USA,Furniture,Table,1,159.08,159.08,120.49,38.59,Wallet,Paid,5.82,12.95,31.64,Bob
TXN00003,07-07-2023,CUST1189,Corporate,East,USA,Office Supplies,Envelope,3,431.37,1294.11,1040.58,253.53,Credit Card,Overdue,0.27,17.25,209.23,Frank
TXN00004,30-08-2023,CUST8513,Consumer,South,Germany,Office Supplies,Envelope,7,308.9,2162.3,1837.87,324.43,Net Banking,Pending,7.82,7.37,277.02,Diana
TXN00005,02-01-2023,CUST2021,Corporate,South,USA,Furniture,Chair,18,389.82,7016.76,6187.73,829.03,Wallet,Pending,14.55,9.25,642.88,Frank
TXN00006,03-08-2023,CUST2016,Corporate,West,India,Electronics,Laptop,15,416.08,6241.2,4412.69,1828.51,Wallet,Paid,2.82,15.43,1502.76,Alice
TXN00007,11-12-2023,CUST9006,Consumer,West,India,Office Supplies,Stapler,19,356.36,6770.84,5543.3,1227.54,Credit Card,Overdue,1.48,9.66,1092.55,Alice
TXN00008,28-01-2023,CUST7278,Consumer,West,Germany,Furniture,Chair,16,191.7,3067.2,2455.76,611.44,Cash,Overdue,11.83,8.57,492.91,Charlie
TXN00009,15-08-2023,CUST9110,Corporate,East,India,Electronics,Laptop,14,251.96,3527.44,2669.64,857.8,UPI,Pending,8.79,7.62,722.78,Alice
TXN00010,21-02-2023,CUST6116,Enterprise,West,USA,Electronics,Tablet,7,211.09,1477.63,1221.51,256.12,Wallet,Paid,1.54,8.77,230.06,Frank
TXN00011,11-10-2023,CUST3693,Enterprise,West,Germany,Furniture,Table,11,168.93,1858.23,1183,675.23,Credit Card,Overdue,18.14,8.54,505.54,Charlie
